frame,x_m,y_m,z_m
306.000000,4.868828,-0.440319,0.881857
308.000000,4.894103,-0.441974,0.884019
310.000000,4.907583,-0.441724,0.907453
312.000000,4.927651,-0.442858,0.904291
314.000000,4.965000,-0.437590,0.919994
316.000000,4.946323,-0.456258,0.885925
318.000000,4.991646,-0.445513,0.904392
320.000000,5.006041,-0.442560,0.900875
322.000000,5.017458,-0.439044,0.904599
324.000000,5.049160,-0.440249,0.900431
326.000000,5.072930,-0.439733,0.891791
328.000000,5.108378,-0.432108,0.907976
330.000000,5.113349,-0.432142,0.897755
332.000000,5.149414,-0.431746,0.886293
334.000000,5.180426,-0.419272,0.898727
336.000000,5.192366,-0.411655,0.923986
338.000000,5.211958,-0.405515,0.915733
340.000000,5.241610,-0.398629,0.924479
342.000000,5.306558,-0.385867,0.931523
344.000000,5.336823,-0.377034,0.946703
346.000000,5.375131,-0.376840,0.941505
348.000000,5.394511,-0.379160,0.945166
350.000000,5.422305,-0.380101,0.945553
352.000000,5.444326,-0.382275,0.942044
354.000000,5.464611,-0.377395,0.975477
356.000000,5.508924,-0.377241,0.947065
358.000000,5.535890,-0.371797,0.964166
360.000000,5.564695,-0.369504,0.954953
362.000000,5.604858,-0.365193,0.976405
364.000000,5.635222,-0.372572,0.999910
366.000000,5.643523,-0.362030,1.034666
368.000000,5.642577,-0.366934,1.051810
370.000000,5.671378,-0.363372,1.036893
372.000000,5.697484,-0.368376,1.052138
374.000000,5.712592,-0.359803,1.056220
376.000000,5.732170,-0.369844,1.065013
378.000000,5.747167,-0.360025,1.064364
380.000000,5.775724,-0.358969,1.076937
382.000000,5.823050,-0.358318,1.065834
384.000000,5.846631,-0.351687,1.072973
386.000000,5.899298,-0.334608,1.081771
388.000000,5.933783,-0.331324,1.072407
390.000000,5.933813,-0.323512,1.115714
392.000000,5.970874,-0.305361,1.143114
394.000000,6.001303,-0.305848,1.104081
396.000000,6.049309,-0.298273,1.080598
398.000000,6.055944,-0.294107,1.124851
400.000000,6.100678,-0.289345,1.102361
402.000000,6.127525,-0.289077,1.070815
404.000000,6.166322,-0.264246,1.106510
406.000000,6.197271,-0.281473,1.100247
408.000000,6.271042,-0.252889,1.077040
410.000000,6.285639,-0.262955,1.104454
412.000000,6.306310,-0.264997,1.103235
414.000000,6.338319,-0.275270,1.100978
416.000000,6.363821,-0.261864,1.125754
418.000000,6.372343,-0.271537,1.145700
420.000000,6.406945,-0.263939,1.135630
422.000000,6.391923,-0.266654,1.176456
424.000000,6.408882,-0.269763,1.153457
426.000000,6.413641,-0.275532,1.155077
428.000000,6.434669,-0.268597,1.170254
430.000000,6.461911,-0.264272,1.156852
432.000000,6.505948,-0.249897,1.153000
434.000000,6.515241,-0.245908,1.144108
436.000000,6.566690,-0.233800,1.198850
438.000000,6.609873,-0.204451,1.181306
440.000000,6.650785,-0.188452,1.212060
442.000000,6.697703,-0.179601,1.207956
444.000000,6.730472,-0.179558,1.234010
446.000000,6.744108,-0.175763,1.269215
448.000000,6.781609,-0.157959,1.267459
450.000000,6.816773,-0.160951,1.236918
452.000000,6.846558,-0.150590,1.256521
454.000000,6.886323,-0.141053,1.241198
456.000000,6.899839,-0.137090,1.259060
458.000000,6.947952,-0.133362,1.256652
460.000000,6.965648,-0.139729,1.220752
462.000000,7.000870,-0.131965,1.245175
464.000000,7.056478,-0.144638,1.222092
466.000000,7.056598,-0.159400,1.252907
468.000000,7.093605,-0.164420,1.256904
470.000000,7.106838,-0.177321,1.299645
472.000000,7.149137,-0.186923,1.275431
474.000000,7.153382,-0.193281,1.344366
476.000000,7.181962,-0.188966,1.320367
478.000000,7.195695,-0.194574,1.360518
480.000000,7.211407,-0.201492,1.356026
482.000000,7.228727,-0.193021,1.394145
484.000000,7.246343,-0.189522,1.413845
486.000000,7.273984,-0.185281,1.377718
488.000000,7.301079,-0.174636,1.357483
490.000000,7.332970,-0.172639,1.372040
492.000000,7.374218,-0.154157,1.390866
494.000000,7.402015,-0.137090,1.401759
496.000000,7.425273,-0.128524,1.414142
498.000000,7.464609,-0.111369,1.427295
500.000000,7.489781,-0.105229,1.432720
502.000000,7.539576,-0.086715,1.429232
504.000000,7.565122,-0.077967,1.424991
506.000000,7.612580,-0.066942,1.435936
508.000000,7.632937,-0.058421,1.432647
510.000000,7.673627,-0.036111,1.440123
512.000000,7.752938,0.001177,1.424230
514.000000,7.830621,0.043172,1.446663
516.000000,7.904285,0.084192,1.461104
518.000000,7.936066,0.102771,1.461256
520.000000,7.989487,0.125551,1.414613
522.000000,8.035686,0.139231,1.428539
524.000000,8.095931,0.155137,1.409679
526.000000,8.150902,0.181927,1.437300
528.000000,8.207921,0.195711,1.401194
530.000000,8.262203,0.212413,1.423812
532.000000,8.254351,0.214412,1.354440
534.000000,8.296817,0.215591,1.329241
536.000000,8.327349,0.225856,1.337854
538.000000,8.380465,0.230930,1.320178
540.000000,8.428731,0.239659,1.301800
542.000000,8.476936,0.250868,1.287243
544.000000,8.502492,0.256822,1.279948
546.000000,8.552587,0.264291,1.260252
548.000000,8.593529,0.257612,1.264975
550.000000,8.590034,0.253801,1.239825
552.000000,8.539429,0.242477,1.193719
554.000000,8.592297,0.233903,1.198820
556.000000,8.631842,0.233777,1.207626
558.000000,8.591743,0.228078,1.154319
560.000000,8.570664,0.211674,1.138021
562.000000,8.582989,0.209028,1.116759
564.000000,8.600722,0.202430,1.097427
566.000000,8.595472,0.198937,1.064911
568.000000,8.624437,0.201222,1.041222
570.000000,8.646059,0.200144,1.038903
572.000000,8.687793,0.206658,1.018010
574.000000,8.706329,0.225922,0.978347
576.000000,8.720108,0.234814,0.952458
578.000000,8.754884,0.253171,0.927020
580.000000,8.797092,0.274528,0.919465
582.000000,8.802585,0.280848,0.905857
584.000000,8.775935,0.274149,0.911621
586.000000,8.817055,0.294664,0.909399
588.000000,8.810115,0.311882,0.903780
590.000000,8.741912,0.298004,0.919951
592.000000,8.796546,0.333670,0.906851
594.000000,8.817819,0.343113,0.918903
596.000000,8.833767,0.353708,0.902935
598.000000,8.868618,0.367584,0.910132
600.000000,8.867360,0.375041,0.907601
602.000000,8.927456,0.392323,0.909439
604.000000,8.947338,0.407492,0.931570
606.000000,9.026627,0.435980,0.978754
608.000000,9.065809,0.438467,1.010833
610.000000,9.121226,0.466015,1.040812
612.000000,9.157332,0.476125,1.000380
614.000000,9.190636,0.485531,1.049553
616.000000,9.234070,0.508317,1.101955
618.000000,9.266286,0.516733,1.104497
620.000000,9.311094,0.528359,1.151933
622.000000,9.347967,0.533396,1.154203
624.000000,9.393605,0.536155,1.158739
626.000000,9.446666,0.549402,1.170972
628.000000,9.484775,0.561654,1.175797
630.000000,9.543468,0.576761,1.203112
632.000000,9.590597,0.587277,1.226985
634.000000,9.652986,0.610776,1.264444
636.000000,9.680168,0.613011,1.277006
638.000000,9.747822,0.634390,1.283069
640.000000,9.811482,0.669571,1.304338
642.000000,9.887857,0.696360,1.319928
644.000000,9.961500,0.728982,1.303451
646.000000,9.996031,0.758970,1.300349
648.000000,10.082529,0.789010,1.339193
650.000000,10.199018,0.821515,1.332433
652.000000,10.262319,0.838428,1.314600
654.000000,10.310030,0.842182,1.344366
656.000000,10.404665,0.863978,1.320359
658.000000,10.460780,0.884355,1.354101
660.000000,10.505744,0.894499,1.339578
662.000000,10.557536,0.907491,1.330770
664.000000,10.610530,0.919163,1.345640
666.000000,10.659540,0.945663,1.344438
668.000000,10.691835,0.966627,1.340634
670.000000,10.715783,0.977665,1.349759
672.000000,10.768655,0.988393,1.347191
674.000000,10.793827,1.001408,1.318823
676.000000,10.822099,1.011750,1.327176
678.000000,10.839474,1.021518,1.331965
680.000000,10.880341,1.035246,1.311282
682.000000,10.930414,1.050078,1.306165
684.000000,10.979022,1.063693,1.286832
686.000000,11.030273,1.083015,1.289176
688.000000,11.069939,1.077177,1.276075
690.000000,11.120163,1.086373,1.251073
692.000000,11.164258,1.090408,1.245795
694.000000,11.227760,1.111286,1.225437
696.000000,11.230762,1.113334,1.223525
698.000000,11.272042,1.123866,1.207057
700.000000,11.274458,1.126307,1.186593
702.000000,11.292031,1.130441,1.169732
704.000000,11.303808,1.161780,1.153351
706.000000,11.344685,1.173820,1.130715
708.000000,11.372748,1.200784,1.100649
710.000000,11.389090,1.206585,1.073719
712.000000,11.417789,1.236559,1.071689
714.000000,11.475142,1.255212,1.047598
716.000000,11.476192,1.252188,1.038841
718.000000,11.535724,1.267826,1.023718
720.000000,11.571769,1.307176,1.015230
722.000000,11.580172,1.301340,1.004156
724.000000,11.585804,1.312365,0.998655
726.000000,11.587034,1.319166,0.984410
728.000000,11.589780,1.328777,0.963220
730.000000,11.620455,1.343777,0.953335
732.000000,11.662672,1.365092,0.934244
734.000000,11.669571,1.378266,0.916222
736.000000,11.687075,1.387422,0.909396
738.000000,11.732385,1.406955,0.892114
740.000000,11.770439,1.429322,0.872758
742.000000,11.792311,1.437130,0.883289
744.000000,11.828030,1.454315,0.872541
746.000000,11.849143,1.472999,0.869823
748.000000,11.861992,1.474364,0.870533
750.000000,11.874017,1.489364,0.858685
752.000000,11.913372,1.513799,0.858495
754.000000,11.942752,1.544123,0.837919
756.000000,11.947309,1.561378,0.834839
758.000000,11.969413,1.574302,0.834324
760.000000,11.977995,1.590903,0.812143
762.000000,11.993498,1.627939,0.828713
764.000000,12.010035,1.656360,0.818166
766.000000,12.007562,1.681773,0.806414
768.000000,12.006747,1.720424,0.805422
770.000000,12.027204,1.748127,0.799298
772.000000,12.034487,1.765172,0.785904
774.000000,12.078885,1.794002,0.787661
776.000000,12.143542,1.841280,0.800784
778.000000,12.198440,1.854202,0.818848
780.000000,12.242761,1.883527,0.841823
782.000000,12.321886,1.886827,0.841112
784.000000,12.376016,1.877962,0.863145
786.000000,12.436546,1.893022,0.865441
788.000000,12.489936,1.885106,0.876982
790.000000,12.549857,1.870863,0.886849
792.000000,12.608011,1.858630,0.898782
794.000000,12.688292,1.851801,0.903690
796.000000,12.752967,1.848640,0.913062
798.000000,12.822207,1.846554,0.920319
800.000000,12.865925,1.832775,0.933866
